step_num,indicator,module_family,mean_value,n
3000,mp_outliers_x1.1,mlp,206.53125,32
3000,mp_outliers_x1.25,attention,31.0625,32
3000,mp_outliers_x1.25,mlp,153.9375,32
3000,nuclear_norm,attention,1424.4415671981594,32
3000,nuclear_norm,mlp,2138.6274747103453,32
3000,num_singular_values,attention,2048.0,32
3000,num_singular_values,mlp,2048.0,32
3000,rows,attention,4096.0,32
3000,rows,mlp,5120.0,32
3000,spectral_norm,attention,3.6688757240772247,32
3000,spectral_norm,mlp,6.426176026463509,32
3000,stable_rank,attention,115.82169463574728,32
3000,stable_rank,mlp,101.67670078953009,32
3000,subspace_stability_topk,attention,0.8218456571921706,32
3000,subspace_stability_topk,mlp,0.8641269225627184,32
4000,alpha_tail_frac_0.2,attention,2.3729020457556893,32
4000,alpha_tail_frac_0.2,mlp,2.5761371584220365,32
4000,alpha_tail_frac_0.3,attention,2.0609896150617733,32
4000,alpha_tail_frac_0.3,mlp,2.411532464546657,32
4000,alpha_tail_frac_0.5,attention,1.6254531972174273,32
4000,alpha_tail_frac_0.5,mlp,2.0471285935979626,32
4000,cols,attention,2048.0,32
4000,cols,mlp,5120.0,32
4000,effective_rank,attention,1677.6192364897322,32
4000,effective_rank,mlp,1897.0464698157373,32
4000,frobenius_norm,attention,38.35526516156483,32
4000,frobenius_norm,mlp,56.98137420924675,32
4000,mean_singular_value,attention,0.7476373047735272,32
4000,mean_singular_value,mlp,1.1624551260772478,32
4000,median_eigenvalue,attention,0.610231062526629,32
4000,median_eigenvalue,mlp,1.2274621502119325,32
4000,mp_edge,attention,184.07445942222202,32
4000,mp_edge,mlp,3.01502305435055,32
4000,mp_outliers_x1,attention,86.96875,32
4000,mp_outliers_x1,mlp,258.0625,32
4000,mp_outliers_x1.1,attention,66.28125,32
4000,mp_outliers_x1.1,mlp,209.375,32
4000,mp_outliers_x1.25,attention,44.75,32
4000,mp_outliers_x1.25,mlp,155.0625,32
4000,nuclear_norm,attention,1531.1612001761837,32
4000,nuclear_norm,mlp,2380.7080982062034,32
