step,step_num,layer,module,metric,value,module_family,module_role
8,8,8,mlp.dense_h_to_4h,subspace_stability_topk,0.9997795820236206,MLP,MLP in
8,8,9,attention.dense,subspace_stability_topk,0.999891996383667,Attention,Attention output
8,8,9,attention.query_key_value,subspace_stability_topk,0.9997979998588562,Attention,QKV
8,8,9,mlp.dense_4h_to_h,subspace_stability_topk,1.0003100633621216,MLP,MLP out
8,8,9,mlp.dense_h_to_4h,subspace_stability_topk,0.9997702836990356,MLP,MLP in
8,8,10,attention.dense,subspace_stability_topk,0.9998958110809326,Attention,Attention output
8,8,10,attention.query_key_value,subspace_stability_topk,0.9998072385787964,Attention,QKV
8,8,10,mlp.dense_4h_to_h,subspace_stability_topk,1.0003108978271484,MLP,MLP out
8,8,10,mlp.dense_h_to_4h,subspace_stability_topk,0.9997205138206482,MLP,MLP in
8,8,11,attention.dense,subspace_stability_topk,0.999902606010437,Attention,Attention output
8,8,11,attention.query_key_value,subspace_stability_topk,0.9997851848602296,Attention,QKV
8,8,11,mlp.dense_4h_to_h,subspace_stability_topk,1.0003151893615725,MLP,MLP out
8,8,11,mlp.dense_h_to_4h,subspace_stability_topk,0.9997767806053162,MLP,MLP in
16,16,0,attention.dense,subspace_stability_topk,0.9998365044593812,Attention,Attention output
16,16,0,attention.query_key_value,subspace_stability_topk,0.9997798204421996,Attention,QKV
16,16,0,mlp.dense_4h_to_h,subspace_stability_topk,1.0002789497375488,MLP,MLP out
16,16,0,mlp.dense_h_to_4h,subspace_stability_topk,0.9997669458389282,MLP,MLP in
16,16,1,attention.dense,subspace_stability_topk,0.9998194575309752,Attention,Attention output
16,16,1,attention.query_key_value,subspace_stability_topk,0.99979567527771,Attention,QKV
16,16,1,mlp.dense_4h_to_h,subspace_stability_topk,0.9996843338012696,MLP,MLP out
16,16,1,mlp.dense_h_to_4h,subspace_stability_topk,0.9998027086257936,MLP,MLP in
16,16,2,attention.dense,subspace_stability_topk,0.9998425245285034,Attention,Attention output
16,16,2,attention.query_key_value,subspace_stability_topk,0.999777853488922,Attention,QKV
16,16,2,mlp.dense_4h_to_h,subspace_stability_topk,0.9994679689407348,MLP,MLP out
16,16,2,mlp.dense_h_to_4h,subspace_stability_topk,0.9997591972351074,MLP,MLP in
16,16,3,attention.dense,subspace_stability_topk,0.999833047389984,Attention,Attention output
16,16,3,attention.query_key_value,subspace_stability_topk,0.9997825622558594,Attention,QKV
16,16,3,mlp.dense_4h_to_h,subspace_stability_topk,1.000186324119568,MLP,MLP out
16,16,3,mlp.dense_h_to_4h,subspace_stability_topk,0.9997771978378296,MLP,MLP in
16,16,4,attention.dense,subspace_stability_topk,0.9997041821479796,Attention,Attention output
16,16,4,attention.query_key_value,subspace_stability_topk,0.999773383140564,Attention,QKV
16,16,4,mlp.dense_4h_to_h,subspace_stability_topk,1.0002597570419312,MLP,MLP out
16,16,4,mlp.dense_h_to_4h,subspace_stability_topk,0.9997764825820924,MLP,MLP in
16,16,5,attention.dense,subspace_stability_topk,0.9998557567596436,Attention,Attention output
16,16,5,attention.query_key_value,subspace_stability_topk,0.9997751116752625,Attention,QKV
16,16,5,mlp.dense_4h_to_h,subspace_stability_topk,1.0002238750457764,MLP,MLP out
16,16,5,mlp.dense_h_to_4h,subspace_stability_topk,0.9997843503952026,MLP,MLP in
16,16,6,attention.dense,subspace_stability_topk,0.9996819496154784,Attention,Attention output
16,16,6,attention.query_key_value,subspace_stability_topk,0.9997869729995728,Attention,QKV
16,16,6,mlp.dense_4h_to_h,subspace_stability_topk,1.0002278089523315,MLP,MLP out
16,16,6,mlp.dense_h_to_4h,subspace_stability_topk,0.999780535697937,MLP,MLP in
16,16,7,attention.dense,subspace_stability_topk,0.9998922944068908,Attention,Attention output
16,16,7,attention.query_key_value,subspace_stability_topk,0.9997943639755248,Attention,QKV
16,16,7,mlp.dense_4h_to_h,subspace_stability_topk,1.0002456903457642,MLP,MLP out
